pop1	pop2	FST	fst_slope	outlier_slope
Cambridge_UK	Pilis_Mountains_Hungary	0.00587701	-0.0356660995854463	-0.34723393802485
Cambridge_UK	Pirio_Muro_Corsica	0.033762	-0.0537162896888435	-0.236236637891752
Cambridge_UK	Radolfzell_Germany	0.0110351	-0.0274341959543008	-0.484175738471325
Cambridge_UK	Romania	0.00464152	0.00622858454244042	-0.0682549706279855
Cambridge_UK	Sardinia	0.0535003	-0.037127797946659	-0.282971543729911
Cambridge_UK	Seewisen_Germany	0.00821753	-0.0259032399058991	-0.499569528641339
Cambridge_UK	Tartu_Estonia	0.00610295	-0.0290161659975612	-0.492629091825819
Cambridge_UK	Turkey	0.00660094	-0.0118833088602146	-0.177539294419054
Cambridge_UK	Velky_Kosir_Czech_Republic	0.00775047	-0.0200710200473609	-0.156372505593635
Cambridge_UK	Vienna_Austria	0.00549892	-0.0188836956028388	-0.251082051561461
Cambridge_UK	Vlieland_NL	0.0137322	-0.01795540734609	-0.0540565356153526
Cambridge_UK	Westerheide	0.00641664	-0.0450283155813196	-0.508823178967074
Cambridge_UK	Wytham_UK	0.00508858	-0.0128336854045009	-0.35605704295919
Cambridge_UK	Zurich_Switzerland	0.0102146	-0.0161490570019872	-0.464254292387792
Cambridge_UK	Zvenigorod_Russia	0.00585916	-0.0228193297438373	-0.718015332314033
Crete	Font_Roja_Spain	0.0535466	-0.0162212442699656	-0.224316354318018
Crete	Gotland_Sweden	0.0438073	-0.0197684382194702	-0.276037857712779
Crete	Harjavalta_Finland	0.043632	-0.025057445736644	-0.562139742095279
Crete	Italy	0.0436882	-0.00124402353454011	-0.16118201554162
Crete	La_Rouviere_France	0.0458723	-0.011164727434886	-0.210195201181904
Crete	Loch_Lomond_Scotland	0.0566626	-0.0205823372949668	-0.2756966184729
Crete	Mariola_Spain	0.0536697	-0.0140738752273424	-0.088684616571033
Crete	Montpellier_France	0.046577	-0.0227148139949462	-0.12892995012859
Crete	Oulu_Finland	0.0464169	-0.0181915548725811	-0.330673862133574
Crete	Pilis_Mountains_Hungary	0.042435	-0.00310836686765204	0.033517930315226
Crete	Pirio_Muro_Corsica	0.0682022	-0.011003825743559	-0.144018340877335
Crete	Radolfzell_Germany	0.0480362	-0.00568300893712081	-0.0981543012165103
Crete	Romania	0.0426615	0.00217501329345065	0.0588308135571984
Crete	Sardinia	0.0936071	0.0500974871680993	0.0643789630621625
Crete	Seewisen_Germany	0.0446801	-0.0183101251742401	-0.114795619606854
Crete	Tartu_Estonia	0.0420332	-0.0252514247859445	-0.361200327920342
Crete	Turkey	0.0410124	-0.0256119797435583	-0.0685909218798405
Crete	Velky_Kosir_Czech_Republic	0.0447053	-0.00930704128018002	0.0108222862558272
Crete	Vienna_Austria	0.0423452	-0.0220275336562455	-0.0955369409246375
Crete	Vlieland_NL	0.051646	0.0110107007818442	-2.32309585816594
Crete	Westerheide	0.0421279	-0.0258988820218887	-0.204375803747746
Crete	Wytham_UK	0.0447375	-0.0347735949970307	-0.333520958502715
Crete	Zurich_Switzerland	0.0467961	-0.000806279040392627	-0.1162332808668
Crete	Zvenigorod_Russia	0.0431139	-0.00586907245741059	-0.193451061299369
Font_Roja_Spain	Gotland_Sweden	0.0154286	-0.0407832433086328	-0.173196807554897
Font_Roja_Spain	Harjavalta_Finland	0.0153486	-0.0373964602840875	-0.323821106938848
Font_Roja_Spain	Italy	0.0176319	-0.0263465957097614	-0.15873823678209
Font_Roja_Spain	La_Rouviere_France	0.0170688	-0.0134849879351524	-0.204815476786995
Font_Roja_Spain	Loch_Lomond_Scotland	0.0267704	-0.0332338276364192	-1.29385310847136
Font_Roja_Spain	Mariola_Spain	0.00365322	0.00270521583090429	-0.274633644530708
Font_Roja_Spain	Montpellier_France	0.0191249	-0.0126747532385102	-0.215021463379366
Font_Roja_Spain	Oulu_Finland	0.0181862	-0.0379958914165889	-0.259571161980299
Font_Roja_Spain	Pilis_Mountains_Hungary	0.0139534	-0.0216332839103399	-0.288060114961704
Font_Roja_Spain	Pirio_Muro_Corsica	0.0403049	-0.0380687301852706	-0.310034399261387
Font_Roja_Spain	Radolfzell_Germany	0.0192299	-0.032230406665529	-0.120767145149347
Font_Roja_Spain	Romania	0.0137061	0.00320137807855875	-0.0477222072706567
Font_Roja_Spain	Sardinia	0.0605266	-0.0256618734510553	-0.0240164058495941
Font_Roja_Spain	Seewisen_Germany	0.0161036	-0.0219309241576675	-0.175023679062292
Font_Roja_Spain	Tartu_Estonia	0.0139551	-0.0184268846823821	-0.270892185484517
Font_Roja_Spain	Turkey	0.0148305	-0.0108308018634048	-0.25066100842637
Font_Roja_Spain	Velky_Kosir_Czech_Republic	0.0158287	-0.0309686303157993	-0.324420960036722
Font_Roja_Spain	Vienna_Austria	0.0136508	-0.0152151655270111	-0.115683406286503
Font_Roja_Spain	Vlieland_NL	0.0220846	-0.00441134596834997	0.0267114045574668
Font_Roja_Spain	Westerheide	0.0141384	-0.0304393089635117	-0.273293367482856
Font_Roja_Spain	Wytham_UK	0.015791	-0.0289501481671125	-0.327855925111294
Font_Roja_Spain	Zurich_Switzerland	0.0180976	-0.0374180832654569	-0.165087153237721
Font_Roja_Spain	Zvenigorod_Russia	0.014294	-0.0186529754656186	-0.234086555315299
Gotland_Sweden	Harjavalta_Finland	0.00375844	-0.0109833257640498	-0.0365437744302777
Gotland_Sweden	Italy	0.00623746	-0.0269686430201199	-0.054142715340838
Gotland_Sweden	La_Rouviere_France	0.00555898	-0.0159049411089416	-0.179165963171917
Gotland_Sweden	Loch_Lomond_Scotland	0.0173797	-0.0295321479467443	-1.15630609581645
Gotland_Sweden	Mariola_Spain	0.0150788	-0.0330204257972046	-0.0824350167815308
Gotland_Sweden	Montpellier_France	0.00795312	-0.00548555071822269	-0.0201421869304046
Gotland_Sweden	Oulu_Finland	0.00662632	-0.0235531005948172	-0.0531055712010778
Gotland_Sweden	Pilis_Mountains_Hungary	0.00228948	0.000551258744458066	-0.0146387086254838
Gotland_Sweden	Pirio_Muro_Corsica	0.0306851	-0.0598972795426876	-0.392707484665158
Gotland_Sweden	Radolfzell_Germany	0.00762219	-0.00310033213399135	0.000426583170716522
Gotland_Sweden	Romania	0.00123793	0.00829154915257383	0.00868758847495667
Gotland_Sweden	Sardinia	0.0508642	-0.0377833173093469	-0.309426657673621
Gotland_Sweden	Seewisen_Germany	0.00466473	0.0113958995132076	0.0317363941843814
Gotland_Sweden	Tartu_Estonia	0.00250444	-0.00035463520472288	0.014622749192235
Gotland_Sweden	Turkey	0.00310031	-0.00590959899667497	-0.0345022929719226
Gotland_Sweden	Velky_Kosir_Czech_Republic	0.0041871	-0.00480531730067836	-0.0377297145322269
Gotland_Sweden	Vienna_Austria	0.00211087	-0.00774659831539289	-0.00567645594834827
Gotland_Sweden	Vlieland_NL	0.0106341	0.00495173032251642	0.0594975726160667
